Code,Term,Explanation
SK84 (AAB-15),uccaiHSrutiH (kEvalavAta),"-,It is characterised by intolerance to loud sounds. This may be explained by: (a) Increased vatadosha, pittadosha leading to hypersensitivity of ear.,Dysacousia disorder (TM2)"
AAB-16,udarAveShTaH (kEvalavAta),"-,-,feeling of abdomen as if enveloped by a cloth (due only to vātadōṣa)"
AAB-17,udAvartaH (kEvalavAta),"-,-,obstipation (due only to vātadōṣa)"
AAB-18,UrustamBaH/ADhyavAtaH (kEvalavAta),"-,-,stiff thigh (due only to vātadōṣa)"
AAB-19,UrusAdaH (kEvalavAta),"-,-,thigh fatigue (due only to vātadōṣa)"
AAB-20,ekA~ggarogaH (kEvalavAta),"-,-,monoplegia (due only to vātadōṣa)"
AAB-21,oShThaBedaH (kEvalavAta),"-,-,cleft lip (due only to vātadōṣa)"
SL02 (AAB-22),kaNThodhvaMsaH (kEvalavAta),"-,It is characterised by change in the character of voice making it harsh and husky, feeling of roughness and irritation of throat. This may be explained by: (a) Vitiated vata affecting the speech faculties.,Hoarseness of voice disorder (TM2)"
SL02 (AAB-22),kaNThodhvaMsaH (kEvalavAta),"-,It is characterised by change in the character of voice making it harsh and husky, feeling of roughness and irritation of throat. This may be explained by: (a) Vitiated vata affecting the speech faculties.,Hoarseness of voice disorder (TM2)"
AAB-23,karNaSUlaH (kEvalavAta),"-,-,earache/otalgia (due only to vātadōṣa)"
AAB-24,kampaH/vepathuH (kEvalavAta),"-,-,tremor (due only to vātadōṣa)"
AAB-25 (SM1Y),kaShAyAsyatA (kEvalavAta),"-,-,Feeling of astringent taste disorder (TM2) ⇒"
SP97 (AAB-26),klamaH (kEvalavAta),"-,It is characterised by feeling extreme exhaustion even without any physical effort, work. This may be explained by: (a) Vitiation of all the three dosha, seven elementary tissues and ojas.,Severe fatigue disorder (TM2)"
SN41 (AAB-27),kArShNyam (kEvalavAta),"-,It is characterised by discoloration or pigmentation of skin. This may be explained by: (a) Increased vatadosha.,Discoloration of body disorder (TM2)"
AAB-28,kubjatvam (kEvalavAta),"-,-,kyphosis/captocormia (due only to vātadōṣa)"
SP61 (AAB-29),kArSyam (kEvalavAta),"-,It is characterised by sudden or gradual loss of body weight, loss of muscle. This may be explained by: (a) Emaciation in the body due to vitiation of vāta.,Emaciation disorder (TM2)"
SN4C (AAB-30),keSaBUmisPuTanam (kEvalavAta),"-,It is characterised by scaling of scalp / forehead skin. This may be explained by: (a) Increased vatadosha.,Scaling of scalp and forehead skin disorder (TM2)"
AAB-31,kha~jjaH/kha~jjatvam (kEvalavAta),"-,-,lameness (unilateral) (due only to vātadōṣa)"
AAB-32,garBanASaH (kEvalavAta),"-,-,foetal distress/foetal death (due only to vātadōṣa)"
SP45 (AAB-33),grIvAstamBaH (kEvalavAta),"-,It is characterised by pain, stiffness of the neck. This may be explained by: (a) Vitiation of vata causing stiffness of neck muscles.,Cervical spondylosis disorder (TM2)"
AAB-34,gudaBraMSaH (kEvalavAta),"-,-,rectal prolapse (due only to vātadōṣa)"
SM50 (AAB-35),gudArtiH (kEvalavAta),"-,It is characterised by pain in the anal region radiating to rest of perineum and lower back. This may be explained by: (a) Severe vitiation of Descending vata affecting the anal region.,Proctalgia disorder (TM2)"
AAB-36 (SP1Y),gulPa-grahaH (kEvalavAta),"-,-,Stiff ankle disorder (TM2) ⇒"
AAB-37,gRudhrasI (kEvalavAta),"-,the disorder is characterized by kramāt sphik-kaṭi-pr̥ṣṭha-ūru-jānu-jaṅghā-padēṣu stambhaḥ [gradual stiffness in gluteal region- low back- upper back- thigh- knee- calf muscles- feet], spandatē muhuḥ [constant/frequent throbbing/twiching sensation], sakthi-nigr̥hṇana [supression/holding down of thighs], jānusaṁdhi-sphuraṇam [twitching sensation in knee], jānusaṁdhi-stabdhatā [stiffness in knee joint], kaṭisaṁdhi-sphuraṇam [twitching sensation in waist], kaṭisaṁdhi-stabdhatā [stiffness of lowback], ūrusaṁdhi-sphuraṇam [twitching sensation in thigh], ūrusaṁdhi-stabdhatā [stiffness in thigh], tōdaḥ [pricking pain], dēha-pravakratā [bending/flexion of the body],sciatia (due only to vātadōṣa)"
SK91 (AAB-38),ghrANanASaH/nAsAhuNDanam (kEvalavAta),"-,It is characterised by decreased or loss of the smell. It may be explained by: (a) Vatadosha, kaphadosha blocking nasal passages,Anosmia disorder (TM2)"
AAB-39(SP1Y),jAnuBedaH (kEvalavAta),"-,-,Breaking pain of knees disorder (TM2) ⇒"
AAB-40 (SP1Y),jAnuviSleShaH (kEvalavAta),"-,-,Lax knee disorder (TM2) ⇒"
SP95 (AAB-41),jRumBA (kEvalavAta),"-,It is characterised by morbid excessive yawning. This may be explained by: (a) Increased vatadosha.,Excessive yawning disorder (TM2)"
AAB-42(SP98),tamaH (kEvalavAta),"-,-,Fainting disorder due to Vata (TM2) ⇒"
AAB-43,timiraH (kEvalavAta),"-,-,partial or total blindness/amaurosis/ametropia/partial obstruction of vision (due only to vātadōṣa)"
AAB-44 (SN9Y),tvakSUnyatA (kEvalavAta),"-,-,Hypoesthesia disorder (TM2) ⇒"
AAB-45 (SP9Y),todaH (kEvalavAta),"-,-,Pricking pain disorder (TM2) ⇒"
AAB-46(SK30),daNDakaH (kEvalavAta),"-,-,Whole body stiffness with immobility disorder (TM2) ⇒"
AAB-47,dantaBedaH (kEvalavAta),"-,-,odontalgia/tooth fracture (due only to vātadōṣa)"
AAB-48 (SM1Y),dantaSaithilyam (kEvalavAta),"-,-,Loose tooth disorder (TM2) ⇒"
SN60(AAB-49),nakhaBedaH (kEvalavAta),"-,It is characterised by whitish, mica coloured discoloration, brittleness of nails. This may be explained by: (a) Vitiated digestive and metabolic factors resulting in non absorption of nutrients leading to vitiation of vatadosha.,Brittle nails disorder (TM2)"
AAB-50(SN7Y),hrasvakeSaH (kEvalavAta),"-,-,Short hair disorder (TM2) ⇒"
AAB-51,nirAmavAtaH,"-,-,vitiation of vāta without association of āma (undigested material)"
AAB-52,pakShAghAtaH/pakShavadhaH (kEvalavAta),"-,-,hemiplegia/hemiparesis (due only to vātadōṣa)"
AAB-53(SK21),pA~ggulyam (kEvalavAta),"-,-,lameness (bilateral) / lower limb paralysis (TM2)"
AAB-54(SK5Y),pAdaBraMSaH (kEvalavAta),"-,-,Foot drop disorder (TM2) ⇒"
AAB-55(SP4Y),pAdaSUlaH (kEvalavAta),"-,-,Leg pain disorder (TM2) ⇒"
AAB-56(SP45),pAdasuptatA (kEvalavAta),"-,-,Numbness of foot disorder (TM2) ⇒"
SN4R(AAB-57),pAruShyam (kEvalavAta),"-,It is characterised by roughness and thickness of skin may be associated with itching. This may be explained by: (a) Vitiated vatadosha.,Roughness of skin disorder (TM2)"
AAB-58,pArSvAvamardaH (kEvalavAta),"-,-,flank pain (due only to vātadōṣa)"
AAB-59(SP9Y),piNDikodveShTanam (kEvalavAta),"-,-,Calf muscle cramp disorder (TM2) ⇒"
AAB-60,purIShAtigADhatvam (kEvalavAta),"-,-,hard stool (due only to vātadōṣa)"
SP42(AAB-61),pRuShTha-grahaH (kEvalavAta),"-,It is characterised by backache of various degrees associated with stiffness and immobility. This may be explained by: (a) Vitiation of vata, kapha affecting the local muscle tissue.,Lumbar spondylosis disorder (TM2)"
AAB-62,pralApakaH (kEvalavAta),"-,-,delirium (due only to vātadōṣa)"
AAB-63,bAdhiryam (kEvalavAta),"-,-,deafness (due only to vātadōṣa)"
AAB-64(SP4Y),bAhuSoShaH (kEvalavAta),"-,-,Atrophy of arm disorder (TM2) ⇒"
AAB-65(SP9Y),balahAniH (kEvalavAta),"-,-,Weakness disorder (TM2) ⇒"
AAB-66(SP9Y),BedaH (kEvalavAta),"-,-,Splitting pain disorder (TM2) ⇒"
AAB-67,BIrutA (kEvalavAta),"-,-,cowardness (due only to vātadōṣa)"
AAB-68(SM7Y),mala-apravRutiH (kEvalavAta),"-,-,Retention of stool disorder (TM2) ⇒"
AAB-69,mUkatvam (kEvalavAta),"-,-,dumbness/aphasia (due only to vātadōṣa)"
AAB-70,mohaH (kEvalavAta),"-,-,unconsciousness (due only to vātadōṣa)"
AAB-71,BramaH (kEvalavAta),"-,-,giddiness (due only to vātadōṣa)"
AAB-72(SK5Y),BrUvyudAsaH (kEvalavAta),"-,-,Twitching eyebrow disorder (TM2) ⇒"
AAB-73,manyAstamBaH (kEvalavAta),"-,-,stiff neck/torticollis/wry neck (due only to vātadōṣa)"
SM1N(AAB-74),mukhaSoShaH (kEvalavAta),"-,It is characterised by dryness of the tongue and may be associated with dryness of mouth, bitterness, heartburn. This may be explained by: (a) Vitiation of kapha, vata affecting the tongue.,Xerostomia disorder (TM2)"
SM81(AAB-75),mUtranigrahaH (kEvalavAta),"-,It is characterised by retention of urine, inability to urinate, abdominal pain. This may be explained by: (a) Retention of the urine due to vātadosha.,Retention of urine disorder (TM2)"
AAB-76,rajonASaH (kEvalavAta),"-,-,amenorrhoea (due only to vātadōṣa)"
SN42(AAB-77),raukShyam (kEvalavAta),"-,It is characterised by dryness, scaliness and cracking of extremities and face. This may be explained by: (a) Increased vata affecting skin,Dryness of skin disorder (TM2)"
AAB-78(SP9Y),lomaharShaH (kEvalavAta),"-,-,Horripilation disorder (TM2) ⇒"
AAB-79(SK0Y),lalATaBedaH (kEvalavAta),"-,-,Other specified headache disorders (TM2)"
AAB-80(SP1Y),trikagrahaH (kEvalavAta),"-,-,Sacroiliac joint stiffness disorder (TM2) ⇒"
AAB-81,vartmastamBaH (kEvalavAta),"-,-,ptosis/stiff eyelid (due only to vātadōṣa)"
AAB-82(SK7Y),vartmasa~gkocaH (kEvalavAta),"-,-,Entropion disorder (TM2) ⇒"
AAB-83(SP9Y),vakShoparodhaH (kEvalavAta),"-,-,Impaired thoracic mobility disorder (TM2) ⇒"
AAB-84(SP9Y),vakShastodaH (kEvalavAta),"-,-,Chest pain disorder (TM2) ⇒"
SK53(AAB-85),vAk-sa~ggaH (kEvalavAta),"-,It is characterised by loss of speech clarity, lalling, strained speech, may be aggravated due to excess speech. This may be explained by: (a) Aggravagtion of vata affecting kapha and faculty of speech.,Stammering disorder (TM2)"
AAB-86(SP9Y),vAcAlatA (kEvalavAta),"-,-,Talkativeness disorder (TM2) ⇒"
AAB-87(SP1Y),vAtakhuDDatA/vAtakaNTakaH (kEvalavAta),"-,-,Ankle deformity disorder (TM2) ⇒"
AAB-88(SP9Y),vAmanatvam (kEvalavAta),"-,-,Dwarfism disorder (TM2) ⇒"
AAB-89(SM37),viD-BedaH (kEvalavAta),"-,-,Diarrhoea disorder due only to Vāta (TM2) ⇒"
AAB-90,vipAdikA (nAnAtmaja) (kEvalavAta),"-,-,cracks in palms and soles (due only to vātadōṣa)"
AAB-91(SQ04),viShAdaH/dInatA (kEvalavAta),"-,-,Transient depression disorder (TM2) ⇒"
AAB-92(SN3Y),vRuShaNAkShepaH (kEvalavAta),"-,-,Scrotal pain disorder (TM2) ⇒"
AAB-93(SP4Y),va~gkShaNAnAhaH (kEvalavAta),"-,-,Distention of inguinal region disorder (TM2) ⇒"
AAB-94(SP9Y),vyathA (kEvalavAta),"-,-,Agonising pain disorder (TM2) ⇒"
AAB-95(SL7Y),SirAsPUrtiH (kEvalavAta),"-,-,Vasodilatation disorder (TM2) ⇒"
AAB-96,Siroruk (kEvalavAta),"-,-,headache/cephalgia/cephalalgia (due only to vātadōṣa)"
SN03(AAB-97),SukrakShayaH (kEvalavAta),"-,It is characterised by decreased quantity and quality of semen, decreased sexual power, spermatorrhoea. This may be explained by: (a) Vitiation of all three dosha affecting male reproductive system.,Oligospermia disorder (TM2)"
AAB-98,Sa~gkhaBedaH (kEvalavAta),"-,-,temporal cephalalgia (due only to vātadōṣa)"
SN07(AAB-99),SePastamBaH (kEvalavAta),"-,It is characterised by painful penile erection. This may be explained by: (a) Vitiated vata affecting the penis.,Priapism disorder (TM2)"
AAB-100(SP9Y),Saityam (kEvalavAta),"-,-,Chills disorder only due to Kapha (TM2) ⇒"
AAB-101,SyAvAruNAsyatA (kEvalavAta),"-,-,dusky-red oral pigmentation (due only to vātadōṣa)"
AAB-102,SroNiBedaH (kEvalavAta),"-,-,pelvic pain (due only to vātadōṣa)"
AAB-103(SP9Y),sa~gkocaH (kEvalavAta),"-,-,Contracture disorder (TM2) ⇒"
AAB-104,svedanASaH (kEvalavAta),"-,-,anhidrosis/hypohidrosis (due only to vātadōṣa)"
AAB-105(SP9Y),SramaH (kEvalavAta),"-,-,Physical exhaustion disorder (TM2) ⇒"
AAB-106,sarvA~ggarogaH/sarvA~ggavAtaH (kEvalavAta),"-,-,total body paralysis/quadriplegia (due only to vātadōṣa)"
AAB-107(SK52),stamBaH (kEvalavAta),"-,-,Stiffness disorder (TM2) ⇒"
AAB-108(SP4Y),hanuBedaH (kEvalavAta),"-,-,Jaw pain disorder (TM2) ⇒"
AAB-109,hikkA (kEvalavAta),"-,-,hiccup/singultus (due only to vātadōṣa)"
SL62(AAB-110),hRuddravaH (kEvalavAta),"-,It is characterised by feeling of increased beating of the heart which is within the notice of the patient with or without tachycardia. This may be explained by: (a) Vitiation of vata affecting the heart region.,Palpitation disorder (TM2)"
SL60(AAB-111),hRunmohaH (kEvalavAta),"-,It is characterised by decreased heart rate may be associated with decreased heart function. This may be explained by: (a) Vitiated vata affecting pitta for intellect.,Slow heart disorder (TM2)"
AAC,sAmAnyajavAtavikAraH,"-,-,diseases due to vāta"
AAC-1(SK30),antarAyAmaH,"-,-,Emprosthotonus disorder (TM2) ⇒"
AAC-2(SK30),apatantrakaH,"-,-,Convulsive fit disorder (TM2) ⇒"
AAC-2.1,asAdhya-apatantrakaH,"-,the disorder is characterized by garbhapātasamutpannaḥ [caused by miscarriage], śōṇitātisravōtthitaḥ [caused by excessive bleeding/heamorrhage], abhighātasamutthaḥ [caused by trauma],intractable convulsive fit"
AAC-3(SK30),apatAnakaH,"-,-,Orthotonus disorder (TM2) ⇒"
SK20(AAC-4),arditaH,"-,It is characterised by deviation of one side of the face, difficulty in speech, loss of wrinkling, non closure of eyes and lips and dribbling of saliva from the angles of mouth This may be explained by: (a) increased vatadosha affecting one half of the face.,Facial palsy disorder (TM2)"
AAC-4.1,ardita-pUrvarupam,"-,the disorder is characterized by rōmaharṣaḥ [horripilation], vēpathuḥ [shivering/tremors], āvilanētraḥ [turbid/muddy eyes], tvaci svāpaḥ [numbness in skin], tōdaḥ [pricking pain], manyāgrahaḥ [neck stiffness], hanugrahaḥ [lock jaw/catching sensation over jaw], ūrdhvavāyuḥ [upward movement of vāyu],prodromes of facial paralysis"
AAC-4.2,asAdhya-arditaH,"-,the disorder is characterized by avyaktabhāṣaṇam [incoherent speech], prasaktabhāṣaṇam [stammering speech/unable to speak, aphasia], kṣīṇaḥ [debilitatated person], kampaḥ/vēpanam [tremors], animiṣākṣasya [unable to close eye],irremediable facial palsy"
AAC-5(SP0Y),asthipraBedaH,"-,-,Ostealgia disorder (TM2) ⇒"
SP00(AAC-6),asthiSoShaH,"-,It is characterised by atrophy, weakness of bones; may lead to fractures. This may be explained by: (a) Weak digestive and metabolic factors, bone metabolism, malnutrition leading to severe aggravation of vata and decrease of kapha.,Osteoporosis disorder (TM2)"
SN08(AAC-7),vAtAShThIlA,"-,It is characterised by increased frequency of urination, obstruction in passing urine, hesitancy, weak urinary stream. This may be explained by: (a) Vitiated vatadosha affecting urinary system.,Prostatic enlargement disorder (TM2)"
SP15(AAC-8),avabAhukaH,"-,""It is characterised by pain, stiffness and restricted movements of the shoulder joint. This may be explained by: (a) Increased vatadosha affecting the nerves and vessels of shoulder region.,Frozen shoulder disorder (TM2)"
SK55(AAC-9),UrustamBaH/ADhyavAtaH,"-,It is characterised by flaccidity,log like immobility of the thighs. This may be explained by: (a) Obstruction of vata by the ama (state of incomplete digestion, transformation or metabolism).,Weakness of thighs due to vata disorder (TM2)"
AAC-9.1,UrustamBa-pUrvarUpam,"-,the disorder is characterized by dhyānaḥ [insensibility/meditatitve appearance], nidrā [sleep], atistaimityam/stimitatā [excessive rigidity], arōcakaḥ [tastelessness], jvaraḥ [fever], lōmaharṣaḥ [horripilation], chardiḥ [vomiting], jaṅghāsadanam [asthenia/fatigue of calf muscles], ūrusadanam [fatigue /weakness in thighs],prodromes of stiff-thigh"
AAC-9.2(SK55),asAdhya-UrustamBaH,"-,-,Intractable stiff-thigh disorder (TM2) ⇒"
AAC-10(SP2Y ),aMsaSoShaH,"-,-,Shoulder muscle atrophy disorder (TM2) ⇒"
AAC-10(SP2Y ),aMsaSoShaH,"-,-,Shoulder muscle atrophy disorder (TM2) ⇒"
SK30(AAC-11),AkShepakaH,"-,It is characterised by sudden, involuntary contractions of muscles, associated with dribbling of saliva, froth in the mouth and deviation of mouth, staring of eyes or rolling of eyeball. This may be explained by: (a) vitiated vatadosha affecting motor faculties.,Seizure disorder (TM2)"
SM31(AAC-12),AdhmAnam,"-,It is characterised by distension of abdomen, flatulance, gurlging sounds, heaviness may be associated with pain, dyspepsia, constipation and dysuria. This may be explained by: (a) Aggravation of Descending vata affecting the excretory functions.,Abdominal distension disorder (TM2)"
AAC-12.1(SM31),pratyAdhmAnaH/pratyAnAhaH,"-,-,Tympanites disorder (TM2) ⇒"
AAC-13(SK30),bahirAyAmaH/bAhyAyAmaH/dhanuHstamBaH,"-,-,Opisthotonos disorder (TM2) ⇒"
AAC-13.1(SK30),asAdhyadhanuShkaMpa,"-,-,Irremediable opisthotonos disorder (TM2) ⇒"
SM75(AAC-14),UrdhvavAtaH,"-,It is characterised by severe abdominal colicky pain, projectile vomiting with gastrointestinal contents. This may be explained by: (a) Reversal of Kindling vata, Descending vata functions.,Dynamic intestinal obstruction disorder (TM2)"
AAC-15(SK22),ekA~ggavAtaH,"-,-,Monoplegia disorder (TM2) ⇒"
AAC-16(SK5Y),kalAyakha~jjaH,"-,-,Lathyrism disorder (TM2) ⇒"
AAC-17(SP10),kroShTukaSIrShaH,"-,-,Swollen knee deformity disorder (TM2) ⇒"
AAC-18(SK2Y),kha~jjaH/kha~jjatvam,"-,-,Lameness (unilateral) disorder (TM2) ⇒"
SP20(AAC-19),khallI,"-,It is characterised by severe spamodic, cramp like pain in upper or lower limb muscles. It may be shifting in nature. This may be explained by: (a) Severe vitiation of vatadosha.,Muscle pain, twisting disorder (TM2)"
SP41(AAC-20),gRudhrasI,"-,It is characterised by moderate to severe pain, starting from acetabulum of hip bone, mainly travelling laterally to ankle joint and rarely radiating from the medial side of thigh. This may be explained by: (a) Vitiation of vata affecting nerves, tendons, muscles of leg; may be associated with vitiated kapha (resulting in mild pain).,Sciatica disorder (TM2)"
AAC-20.1,vAtikagRudhrasI,"-,the disorder is characterized by kramāt sphik-kaṭi-pr̥ṣṭha-ūru-jānu-jaṅghā-padēṣu stambhaḥ [gradual stiffness in gluteal region- low back- upper back- thigh- knee- calf muscles- feet], spandatē muhuḥ [constant/frequent throbbing/twiching sensation], sakthi-nigr̥hṇana [supression/holding down of thighs], jānusaṁdhi-sphuraṇam [twitching sensation in knee], jānusaṁdhi-stabdhatā [stiffness in knee joint], kaṭisaṁdhi-sphuraṇam [twitching sensation in waist], kaṭisaṁdhi-stabdhatā [stiffness of lowback], ūrusaṁdhi-sphuraṇam [twitching sensation in thigh], ūrusaṁdhi-stabdhatā [stiffness in thigh], tōdaḥ [pricking pain], dēha-pravakratā [bending/flexion of the body],gRudhrasI due to vāṭa"
AAC-20.2,vAtakaPaja-gRudhrasI,"-,the disorder is characterized by kramāt sphik-kaṭi-pr̥ṣṭha-ūru-jānu-jaṅghā-padēṣu stambhaḥ [gradual stiffness in gluteal region- low back- upper back- thigh- knee- calf muscles- feet], spandatē muhuḥ [constant/frequent throbbing/twiching sensation], sakthi-nigr̥hṇana [supression/holding down of thighs], tandrā [drowsiness/lassitude], gauravam [heaviness], arōcakaḥ/bhaktadvēṣaḥ [tastelessness/aversion to food], vahnimārdavam [diminution of agni /hypofunction of digestive mechanism], mukhaprasēkaḥ [salivation],gRudhrasI due to vāta and kapha"
AAC-21(SK22),jihvAstamBaH,"-,-,Tongue paralysis disorder (TM2) ⇒"
SM83(AAC-22),tUnI,"-,It is characterised by spasmodic pain in loin radiating to pubic region and thigh. It may be associated with haematuria, chills and fever. This may be explained by: (a) Obstruction of urinary passage (due to renal calculi) aggravates vata leading to spasmodic pain.,Renal colic disorder (TM2)"
AAC-239(SK30),daNDApatAnakaH,"-,-,Orthotonus with rod like stiffness disorder (TM2) ⇒"
SK22(AAC-24),pakShAghAta/pakShavadhaH,"-,It is characterised by loss of mobility or flaccidity of one side of the body. May be associated with difficulty in swallowing, speech, deranged cognitive functions, tactile sensation. This may be explained by: (a) obstruction to body channels or severe lack of nutrition leading to aggravation of vatadosha affecting motor, sensory and cognitive functions.,Hemiplegia disorder (TM2)"
AAC-24.1,kaPAnvitapakShAghAtaH,"-,the disorder is characterized by śaitya [cold on touch on affected side of body], śōtha [oedema], gurutva [heaviness],pakśāghāta due to kapha"
AAC-24.2,pittAnvitapakShAghAtaH,"-,the disorder is characterized by dāhaḥ [burning sensation], santāpaḥ [burning sensation], mūrcchā [syncope/attacks of swooning],pakśāghāta due to pitta"
AAC-24.3,bAla-pakShAghAtaH,"-,-,hemiplegia in children"
AAC-25(SP9Y),pAdadAhaH,"-,-,Burning feet disorder (TM2) ⇒"
AAC-26(SP9Y),pAdaharShaH,"-,-,Tingling feet disorder (TM2) ⇒"
AAC-27(SM83),pratitUnI,"-,-,Colicky pain radiating towards bladder and upwards to abdomen disorder (TM2) ⇒"
