Code,Term,Explanation
A-27.3,Kābūs Bārid,"Nightmare due to cold,This type of <em>Kābūs</em> occurs due to exposure of head to cold during sleep, inspite of the absence of predominance of any humour. It will not be characterized by the general symptoms of <em>Kābūs</em> and predominance of any humour."
A-28,Ṣar‘,"Epilepsy,Its literal meaning is to fall down. It is an episodic disease in which sensory and motor functions of the organs are stopped. The patient falls down and experiences convulsions and frothing from the mouth."
A-28.1,Ṣar‘ Dimāghī Sawdāwī,"Melancholic epilepsy,A type of <em>Ṣar‘</em> caused by the obstruction of ventricles of brain by the thick black bile which causes hindrance in the flow of motor faculties and psychic pneuma with in the related nerves."
A-28.2,Ṣar‘ Dimāghī Aṣlī,"Primary epilepsy,A condition where the cause of <em>Ṣar‘</em> (epilepsy) is in the brain itself."
A-28.3,Ṣar‘ Shirkī,"Secondary epilepsy,A condition when <em>Ṣar‘</em> (epilepsy) occurs as a complication of other diseases of the body."
A-28.4,Ṣar‘ Las‘ī,"Sting epilepsy,A type of <em>Ṣar‘</em> (epilepsy) that occurs due to scorpion or insect bite."
A-28.5,Ṣar‘ al-Aṭfāl,"Infantile epilepsy,Epilepsy that occurs in children. Affected children experience convulsions with frothing from mouth. Most physicians are of the view that <em>Umm al-Ṣibyān</em> and <em>Rīḥ al-Ṣibyān</em> are one and the same as is <em>Ṣar‘ al-Aṭfāl</em>, but some physicians do not support this statement. They think that <em>Umm al-Ṣibyān</em> is a type of <em>Ṣar‘</em> (epilepsy) which is accompanied with high fever."
A-28.6,Ṣar‘ Badanī,"epilepsy due to vapours,Epilepsy of this type occurs when <em>Radī Bukhārāt</em> (putrefied gases) from the body get accumulated in the brain."
A-28.7,Ṣar‘ Aṭrāfī,"epilepsy due to the involvement of extremities,Epilepsy of this type occurs when <em>Radī Bukhārāt</em> (putrefied gases) from hand and legs get collected in the brain."
A-28.8,Ṣar‘ Raḥimī,"epilepsy due to the involvement of uterus,<em>Ṣar‘</em> (epilepsy) due to the involvement of uterus."
A-28.9,Ṣar‘ Khababī,"Procursive epilepsy,In this type of <em>Ṣar‘</em> (epilepsy) patient runs fast before the episode of convulsion."
A-28.10,Ṣar‘ Khafīf,"Petit mal,In this type of <em>Ṣar‘</em> (epilepsy) intensity of convulsions is mild. This is usually accompanied with tinnitus, congestion and tension but there is no heaviness of head."
A-28.11,Ṣar‘ Shadīd,"Grand mal,In this type of <em>Ṣar‘</em> (epilepsy) intensity of convulsions is severe."
A-28.12,Ṣar‘ Ḍarbī,"Traumatic epilepsy,A type of <em>Ṣar‘</em> (epilepsy) that occurs after injury of the head."
A-28.13,Ṣar‘ Qalbī,"epilepsy due to the involvement of heart,A type of <em>Ṣar‘</em> (epilepsy) associated with some cardiac diseases."
A-28.14,Ṣar‘ Laylī,"Nocturnal epilepsy,A type of <em>Ṣar‘</em> (epilepsy) in which episodic convulsions occur at night."
A-28.15,Ṣar‘ Marāqī,"Hypochondriacal neurosis,A type of <em>Ṣar‘</em> (epilepsy) associated with <em>Mālankhūliyā</em>."
A-28.16,Ṣar‘ Nahārī,"Diurnal epilepsy,In this type of <em>Ṣar‘</em> (epilepsy) episodic convulsions occur at daytime."
A-28.17,Ṣar‘ Shirkī Mi‘dī,"Secondary epilepsy,<em>Ṣar‘</em> (epilepsy) associated with the abdominal diseases."
A-28.18,Ṣar‘ Ḥissī,"epilepsy  due to hypersensitivity of brain,<em>Ṣar‘</em> (epilepsy) due to the increased sensitivity of the brain."
A-29,Sakta,"Apoplexy,A condition that occurs when there is a complete obstruction of the ventricles of the brain and channels of oxygen. In this condition the motor and sensory functions of the body stop but the respiratory and circulatory functions remain active. Patient remains stationary."
A-29.1,Sakta Damwiyya,"Sanguineous apoplexy,Congestion of blood in the brain leads to this type of <em>Sakta</em> (apoplexy). In this type, patient’s eyes and face become red and vessels are congested."
A-29.2,Sakta Balghamiyya,"Phlegmatic apoplexy,A type of apoplexy that occurs due to <em>Sudda Balghamī</em> (phlegmatic obstruction) in the brain. In this condition patient develops palor, flaccid muscles and there is discharge from nose and mouth."
A-29.3,Sakta Sawdāwiyya,"Melancholic apoplexy,A type of apoplexy that occurs due to accumulation of <em>Sawdā’</em> (black bile) in the brain."
A-29.4,Sakta Iḥtiqāniyya,"Congestive apoplexy,A type of apoplexy in which there is engorgement of blood vessels of brain but exudation does not occur."
A-29.5,Sakta Jildiyya,"Cutaneous apoplexy,An apparent form of <em>Sakta</em> (apoplexy) in which there is accumulation of exudates beneath the skin."
A-29.6,Sakta Ri’wiyya,"Pulmonary apoplexy,When <em>Sakta</em> (apoplexy) occurs due to the haemorrhage of the vessels of lungs. This causes congestion of the lungs."
A-29.7,Sakta Suddiyya,"Thrombotic apoplexy,When <em>Sakta</em> (apoplexy) occurs due to the obstruction in the arteries of brain."
A-29.8,Sakta Ḍarbiyya,"Traumatic apoplexy,When <em>Sakta</em> (apoplexy) occurs due to injury of head."
A-29.9,Sakta Mawlūdiyya,"Neonatal apoplexy,When <em>Sakta</em> (apoplexy) occurs in newborns."
A-30,Jumūd/ Shukhūṣ/ Ākhidha/Mudrika/ Qāṭūkhaṣ,"Catalepsy,A condition that occurs due to the accumulation of <em>Sawdā’</em> (black bile) in hind brain. Due to this all the sensory functions of the brain stop and patient remains stationary in his position."
A-31,Istirkhā’,"Atony/Flaccidity,A condition where muscles of an organ or the whole body become flaccid and are not able to perform function."
A-32,Fālij,"Hemiplegia,Paralytic conditions where muscles of half body (longitudinally) on either side stop functioning except the head."
A-32.1,Fālij Wabā’ī,"paralysis due to putrefied air,<em>Fālij</em> (paralysis), that spreads in the form of epidemic in a certain area because of polluted air. This occurs mostly due to the involvement of heart. Patient suffering from this disease has bad breath, red eyes and confused state. This is usually accompanied with vomiting having blackish green vomitus and sometimes it leads to sudden death within hours to three days."
A-33,Tashannuj,"Cramp/Convulsion/Spasm,A condition in which muscles contract towards their origin. It is a state of muscular spasm."
A-33.1,Tashannuj Māddī/ Tashannuj Raṭb/ Tashannuj Imtilā’ī,"Repletive spasm,A type of spasm that occurs due to the involvement of <em>Mādda</em> (organic matter). It occurs mostly in children."
A-33.2,Tashannuj Yubsī/ Tashannuj Istifrāghī,"Dry spasm,A type of spasm that occurs due to the predominance of <em>Yubūsat</em> (dryness) in muscles. Sometimes an intense dryness occurs by generalized evacuation of fluid from the body or by the use of some drugs which produce dryness in the body."
A-33.3,Tashannuj Īdhā’ī,"muscular spasm due to any irritant,A type of spasm that occurs in order to remove an injurious substance from the muscles whether it is an irritant humour or coldness."
A-33.4,Tashannuj al-Aṭfāl,"Infantile spasm,A type of spasm mostly affecting children. It usually occurs because of high fever, constipation, insomnia and crying."
A-33.5,Tashannuj al-Nufsā’,"Post partum spasm,The spasm of muscles occurring in the body of women in the post partum period."
A-33.6,Tashannuj Wajhī,"Facial spasm,The spasm of facial muscles."
A-34,Ḍu‘f al-Dimāgh,"Cerebrasthenia,It is the weakness of brain. In this condition the blood supply to whole brain or a part of brain is interrupted and that part or the whole brain does not get sufficient supply of blood leading to the disturbance in different faculties of brain. This condition can also be due to impaired temperament of brain, congenital abnormality of brain, increased <em>Istifrāgh</em> (evacuation) of the body by any method."
A-35,Dhakāwa al-Ḥiss,"Hyperaesthesia of brain,A condition of increased sensitivity of brain which leads to headache and epilepsy."
A-36,Ṣudā‘,"Cephalagia/Headache,Pain felt in the head which is divided into many types according to cause."
A-36.1,Ṣudā‘ Ḥārr,"Headache due to excessive heat,Headache on exposure to hot environment. This headache does not involve <em>Mādda</em> (organic matter) or any pathological change inside the body."
A-36.2,Ṣudā‘ Bārid,"Headache due to excessive cold,Headache on exposure to cold environment without involvement of <em>Mādda</em> (organic matter)."
A-36.3,Ṣudā‘ Damawī,"Congestive headache,Headache due to predominance of <em>Dam</em> (blood/sanguine)."
A-36.4,Ṣudā‘ Balghamī,"Phlegmatic headache,Headache due to predominance of <em>Balgham</em> (phlegm)."
A-36.5,Ṣudā‘ Ṣafrāwī,"Bilious headache,Headache due to predominance of <em>Ṣafrā’</em> (yellow bile)."
A-36.6,Ṣudā‘ Sawdāwī,"Melancholic headache,Headache due to predominance of <em>Sawdā’</em> (black bile)."
A-36.7,Ṣudā‘ Rīḥī Dākhilī,"headache due to internal gases,Headache due to the accumulation of gases in the brain that are produced in the body."
A-36.8,Ṣudā‘ Rīḥī Khārijī,"headache due to external gases,Headache due to accumulation of gases in the brain from outside the body."
A-36.9,Ṣudā‘ Bukhārī Dākhilī,"headache due to internal vapours,Headache due to excessive production of gases inside the brain."
A-36.10,Ṣudā‘ Bukhārī Khārijī,"headache due to external vapours,Headache due to excessive production of gases outside the brain."
A-36.11,Ṣudā‘ Suddī,"Embolic headache,Headache due to <em>Sudda</em> (obstruction). The obstruction can occur either in the blood vessels or meningeal vessels or brain tissues."
A-36.12,Ṣudā‘ Waramī,"Inflammatory headache,Headache due to <em>Waram</em> (inflammation) of brain."
A-36.13,Ṣudā‘ Ḍarabānī,"Throbbing headache,Headache due to increased pulsation of arteries in the brain."
A-36.14,Ṣudā‘ Ḍu‘f Dimāghī,"Headache due to weakness of brain,Headache due to weakness of brain."
A-36.15,Ṣudā‘Ḥissī,"Headache due to hyperaesthesia,Headache due to the increased sensation of brain."
A-36.16,Ṣudā‘ Yubsī,"Dry headache,Headache due to the predominance of <em>Yubūsat</em> (dryness) in the brain."
A-36.17,Ṣudā‘ Jimā‘ī,"Copulative headache,Headache due to excessive intercourse."
A-36.18,Ṣudā‘ Khumārī,"Alcoholic headache,Headache due to intake of alcohol."
A-36.19,Ṣudā‘ Shammī,"headache due to smell,Headache due to inhalation of pungent odour or strong smells."
A-36.20,Ṣudā‘ Ḍarbī/ Ṣudā‘ Tafarruq-i-Ittiṣālī,"Traumatic headache,Headache due to traumatic injury of head."
A-36.21,Ṣudā‘ Taza‘zu‘ī,"Concussional headache,Headache due to concussion of brain."
A-36.22,Ṣudā‘ Nawmī,"Somnial headache,Headache due to excessive sleep."
A-36.23,Ṣudā‘ Dūdī,"headache due to worm,Headache due to the presence of worms in the forebrain."
A-36.24,Ṣudā‘ Shirkī,"Referred headache,Headache due to involvement of some other disease in the body."
A-36.25,Ṣudā‘ Shirkī Mi‘dī,"Referred headache due to the involvement of the stomach,Headache due to stomach diseases."
A-36.26,Ṣudā‘ Shirkī Kabidī,"Referred headache due to the involvement of the liver,Headache due to liver diseases."
A-36.27,Ṣudā‘ Marāqī,"Referred Headache due to the involvement of the peritoneum,Headache due to involvement of peritoneum."
A-36.28,Ṣudā‘ Nazlī,"Catarrhal headache,Headache due to catarrh."
A-36.29,Ṣudā‘ ‘Arḍī,"Secondary headache,Symptomatic headache which is produced as a symptom of other diseases e.g. fever."
A-36.30,Ṣudā‘ Buḥrānī,"Headache during the crisis of disease,Headache in the crisis/critical stage of diseases."
A-37,Tamaddud,"straightening of organ,A type of tension occurring at both ends of the muscles causing maximum stretching of the muscles."
A-38,Kuzāz,"Tetanus,A type of tension occurring in the muscles of cervical and thoracic vertebrae, making them elongated."
A-38.1,Kuzāz Quddāmī,"Emprosthotonus,Tension of the anterior muscles of cervical and thoracic vertebrae."
A-38.2,Kuzāz Khalfī,"Ophisthotonus,Tension of the posterior muscles of cervical and thoracic vertebrae."
A-38.3,Kuzāz Muṭlaq,"Generalized spasm,Tension of the whole muscles of the body."
A-38.4,Kuzāz Janbī,"Pleurothotonus,Tension of muscles of one side of the body."
A-38.5,Kuzāz Dhātī,"Cold induced muscle contraction,<em>Kuzāz</em> that occurs due to exposure of cold."
A-38.6,Kuzāz Ṣibyānī,"Tetanus neonatarum,Tetanus that occurs in new born due to the wound of umbilical cord."
A-38.7,Kuzāz Ḍarbī/ Kuzāz Juruḥī,"Traumatic tetanus,Tetanus that occurs due to injury or wound."
A-39,Laqwa,"Facial palsy,A disease of the facial muscles in which face is deviated to either side. In this condition patient cannot close his eyes on the affected side and lips, completely. Saliva continues to dribble from the angles of the mouth. When the patient blows, air comes out from one side of the mouth. When this disease is bilateral there is no deviation of face but lips and eyes do not close completely."
A-39.1,Laqwa Istirkhā’ī,"deviation of one side of face due to flaccidity of muscles,Deviation of face due to flaccidity of the facial muscles."
A-39.2,Laqwa Tashannujī,"deviation of one side of face due to spasm of muscles,Deviation of face due to spasm of the facial muscles."
A-40,Ra‘sha,"Tremor,Shivering of the organs of the body due to the weakness or defect in motor system. It is a mixture of voluntary and involuntary movements of the body."
A-40.1,Ra‘sha Bārid,"tremor due to cold morbid temperament,A type of <em>Ra‘sha</em> caused by simple cold morbid temperament of the organ."
A-40.2,Ra‘sha Sharābiyya,"Alcoholic tremors,Shivering of the organs due to increased/habitual intake of alcohol."
A-41,Irti‘ād,"Twitching of muscles,Trembling of muscles. It occurs due to the predominance of <em>Ruṭūbat</em> (moistness) in the brain."
A-42,Khadar,"Numbness,The complete/partial loss of sensation of any organ of the body. According to causes it can be of four types i. e. <em>Balghamī</em> (phlegmatic), <em>Damawī</em> (sanguineous), <em>Sawdāwī</em> (melancholic) and <em>Ṣafrāwī</em> (bilious)."
A-43,Ikhtilāj,"Fasciculation,Involuntary movement of the muscles of organs e.g. eyelids, heart, stomach and spleen that can be felt on the skin also. According to aetiology it is of two types: <em>Ikhtilāj Bārid</em> (chronic) and <em>Ikhtilāj Ḥārr</em> (acute)."
B,Amrāḍ-i-‘Ayn,
B-1,Ramad/ Āshob-i-Chashm,"Acute conjunctivitis,It is considered as an inflammation of conjunctiva of eye which is <em>Ḥārr</em> (acute) in nature. Sometimes only the pain of eyes is known as Ramad. In this condition eyelids become swollen, eyes become red with continuous watering."
B-1.1,Ramad Damawī,"Sanguineous conjunctivitis,It is a type of Ramad caused by the predominance of <em>Dam</em> (sanguine) in the surrounding areas of brain and its infiltration into eyes. It is characterized by redness of eyes, swelling, engorgement of vessels of eyes, temporal region of face, pulsation at temporal region, decreased lacrimation and purulent discharge."
B-1.2,Ramad Ṣafrāwī,"Bilious conjunctivitis,A type of <em>Ramad</em> caused by the predominance of <em>Ṣafrā’</em> (yellow bile) and its infiltration into the area surrounding the eye. It is characterized by severe pain from the beginning, pricking sensation, excessive lacrimation but comparatively less redness in the eyes."
B-1.3,Ramad Balghamī,"Phlegmatic conjunctivitis,A type of <em>Ramad</em> caused by excessive intake of milk and other diets that produce phlegm. It is also associated with extreme cold condition and catarrh. In this condition, eyes appear to be wet with little redness, pain and discharge."
B-1.4,Ramad Sawdāwī,"Melancholic conjunctivitis,A type of <em>Ramad</em> caused by dryness of temperament as a result of excessive intake of black bile producing diets. It is characterized by dryness and discoloration of eyes with decreased lacrimation and less stickiness of eyes. It is a long lasting condition."
B-1.5,Ramad Rīḥī,"gaseous conjunctivitis,A type of <em>Ramad</em> accompanied with lacrimation and shifting pain. It is caused by accumulation of thick vapours coming from the brain towards conjunctiva. In this condition there is distension and radiation of pain towards the head, eyes and face."
B-1.6,Ramad Buthūrī/ Wadaqa,"Phlyctenular conjunctivitis,Inflammation of conjunctiva which appears as a hard white nodule due to accumulation of phlegm. It resembles fat in its colour but not in consistency. If it is due to accumulation of <em>Dam</em> (blood/sanguine) its colour is red. It is found on inner canthus, outer canthus, below eyelids and around cornea in a beaded manner."
B-1.7,Ramad Zuhrī,"Gonococcal conjunctivitis,An infectious inflammation of conjunctiva due to gonorrhoea. It is associated with severe pain and redness of eyes."
B-1.8,Ramad Thaljī,"conjunctivitis due to staring at snow,The inflammation of conjunctiva caused by continuous staring at snow."
B-2,Takaddur Ṭabaqa al-Multaḥima,"Hyperaemia of eye,Redness of eye due to sub acute inflammation with moderate symptoms. Redness of the eyes is also mild leading to dirty eyes."
