Code,Term,Explanation
ABB1.1,Aẕal Mañcaḷ Nōy,"Jaundice caused by increased azhal It is characterised by dryness of the skin, insomnia, dyspepsia, generalised bodyache, diarrhoea, borborygmus and weakness of extremities. It is explained by increased Aẕal influences iyam, increased vali ( abanan ,vyanan ).Among the seven Uṭaṟtātukkaḷ C"
ABB1.2,Aẕal Aiya Mañcaḷ Nōy,"Jaundice caused by increased azhal aiyam It is characterised by yellowish discoloration of the body, vomiting, headache, dysentery like milk, dyspepsia, anasarca and pallor of extremities.It is explained by increased Aẕal and iyam causing increased vali( vyanan). Among the seven Uṭaṟtātukkaḷ C"
ABB1.3,Ūtu Mañcaḷ Nōy,"Jaundice with anasarca It is characterised by anasarca, mucus secretion in eyes, unctuous sweating and numbness . It is explained by increased Aẕal influencing Iyam and vali (vyanan). Among the seven Uṭaṟtātukkaḷ Cāram and seneer gets affected."
ABB1.4,Vaṟaṭṭu Mañcaḷ Nōy,"Jaundice with gait distutbances and night blindness It is characterised by shortening of both upper and lower limbs, difficulty in walking, passing blue coloured faeces, dysuria, burning micturition, tasteless, dimness of vision in the evening, blackish discoloration of the body. It is explained by decreas"
ABB1.5,Peru Mañcaḷ Nōy,"Jaundice with male sterility It is characterised by yellowish discoloration of urine, anasarca, yellowish discoloration of face, hands, feet and uvula, weight loss, depression, dyspnoea, impotence and constipation. It can be explained by deranged Aẕal influencing vali,affects vyanan,"
ABB1.6,Aẕaku Mañcaḷ Nōy,"Jaundice with urethritis It is characterised by yellowish discoloration of urine, greenish hue as that of a bonduc nut of eyes and eyebrows, dysuria and dyspepsia and increased body heat.It is explained by increased Aẕal and iyam and decreased vali (vyanan,abanan). Among the s"
ABB1.7,Ceṅkamala Mañcaḷ Nōy,"Jaundice with cardiac dysfunction It is characterised by yellowish hue in uvula, tongue, saliva becomes yellowish hue, cardiac dysfunction, malaise, decreased and concentrated urine, pallor of nails, emaciation followed by fever, It is explained by increased Aẕal and iyam and vali (udanan"
ABC,Aiyam,
ABC1.1,Aiya Mañcaḷ Nōy,"Jaundice due to aiyam It is characterised by generalised icterus, continuous cough, sweating in the forehead, difficulty in walking, giddiness on intake of betelnut, dyspnoea on exertion, rigor, heaviness of the chest. It is explained by increased iyam , Aẕal followed by vali"
ABC1.2,Kuṉma Mañcaḷ Nōy,"Jaundice with dysentery This is characterised by pallor of eyes, greenish hue in the eyes, yellowish discoloration of urine and broth-like consistency.Abdominal pain precedes before vomitting at the time of digestion of food. Anosmia, frequent wheeze , dyspnoea and cough, sleeps"
ABD,Mukkuṟṟam,
ABD1.1,,"Jaundice due to mukuttram This is characterised by burning sensation all over the body,malaise,frequent cough,bodyache,sour taste in the tongue, rigor,distention of lower abdomen.This can be explained by deranged mukkutram affects vyanan,udanan.Among the seven udal thathukkal sara"
AC,Maṇṇīral Nōy,
ACA,Vaḷi,
ACA1.1,Vaḷi Maṇṇīral Nōy,"Spleenomegaly due to vali, if chronic leads to ascites It is characterized by enlargement of abdomen, engorged veins over the abdomen with greenish hue, dislike to eat, bitter taste in the tongue, frequent fever, blackish discoloration of face or whole body, borborygmus, muscle wasting in extremities, constip"
ACB,Aẕal,
ACB1.1,Aẕal Maṇṇīral Nōy,"Spleenomegaly due to azhal with massive enlargement It is characterized by icterus, spleenomegaly, hypersalivation, bitter taste in the tongue, hatred towards food, bilious vomiting, diarrhoea and frequent giddiness. It is explained by increased Aẕal and vali (udanan,vyanan,abanan). Among the seven Uṭaṟtā"
ACC,Aiyam,
ACC1.1,Aiya Maṇṇīral Nōy,"Spleenomegaly due to aiyam with intermittent fever It is characterized by malaise, pallor, peripheral oedema.Engorged veins and varicose veins.If chronic,intermittent fever,bedridden,emaciation ,decreased blood volume and fatal. This can be explained by deranged Iyam influences Aẕal affects vyanan,abanan"
ACD,Mukkuṟṟam,
ACD1.1,Mukkuṟṟa Maṇṇīral Nōy,"Spleenomegaly due to mukuttram,may be fatal It is characterized by signs and symptoms of vali, Aẕal and iya manneeral noi, massive spleenomegaly, health deteriorates leading to sudden death. It is explained by increased vali, Aẕal and iyam . Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ ,Koẕup"
AD,Nīr Vēṭkai Nōy,
ADA,Vaḷi,
ADA1.1,Vaḷi Nīr Vēṭkai Nōy,"Severe thirst due to vali It is characterised by morbid thirst, blackish discoloration of the body, tasteless, deafness, increased sleepiness and decreased vigour. It is explained by increased vali ( udanan,vyanan ) and Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram and seneer gets af"
ADB,Aẕal,
ADB1.1,Aẕal Nīr Vēṭkai Nōy,"Thirst due to azhal It is characterised by increased body temperature, dryness of tongue, pricking pain and redness in uvula,palate.throat and tongue, burning sensation of tongue. It is explained by increased Aẕal and vali (udanan,vyanan). Among the seven Uṭaṟtātukkaḷ Cāra"
ADB1.2,Iraca Nīr Vēṭkai Nōy,"Thirst during conversion of Cāram to blood may lead to fatal It is characterised by increased thirst, dryness of mouth due to haemorrhage, loss of intelligence and dyspnoea. It is explained by increased Aẕal, vali (udanan) and iyam. Among the seven Uṭaṟtātukkaḷ Cāram and Cennīr gets affected."
ADC,Aiyam,
ADC1.1,Aiya Nīr Vēṭkai Nōy,"Thirst due to aiyam It is characterised by obstruction in the throat, sweet taste in the tongue, dyspepsia, anorexia and ageusia. It is explained by increased iyam and decreased Aẕal and vali ( udanan ). Among the seven Uṭaṟtātukkaḷ Cāram and seneer gets affected."
ADC1.2,Ceriyā Nīr Vēṭkai Nōy,"Thirst due to dyspepsia. This is characterised by thirst due to consumption of increased sweet,salt,easily indigestible food during any illness or after a long walk . This can be explained by deranged Iyam influences Aẕal affects udanan. Among the seven Uṭaṟtātukkaḷ,Cāram to s"
ADD,Mukkuṟṟam,
ADD1.1,Mukkuṟṟa Nīr Vēṭkai Nōy,"Thirst in mukkuttram conditions It is characterised by fever, sanni, diabetes and dyspnoea with bad prognosis. It is explained by increase of vali, Aẕal and iyam. Among the Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ , Koẕuppu, Eṉpu, Mūḷai and sukkilam gets affected."
AE,Ūtal Nōy,
AEA,Vaḷi,
AEA1.1,Vaḷi Ūtal Nōy,"Oedema due to vali with pallor It is characterized by weight loss, pallor, dyspepsia, malaise, dyspnoea eeven on mild exertion, browning of hair, impaired sleeping. It is explained by increase of vali and decreased Aẕal (ranjagam). Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ and Ko"
AEB,Aẕal,
AEB1.1,Aẕal Ūtal Nōy,"Oedema due to azhal with icterus It is characterised by yellowish discoloration of eyes, eyebrow, nasal septum and hair,vomiting, dyspnoea, headache, difficulty in walking, giddiness and sweating. It is explained by increased Aẕal leading to increased iyam and vali (udanan,vyanan). Among"
AEC,Aiyam,
AEC1.1,Aiya Ūtal Nōy,"Oedema due to aiyam with cholera like diarrhoea It is characterised by anasarca, generalised pruritus, pallor, fever with rigor, insomnia, continuous diarrhoea as in cholera, giddiness, panic striken on and off.It is explained by increased iyam and vali ( abanan,vyanan ). Among the seven Uṭaṟtātukkal"
AED,Mukkuṟṟam,
AED1.1,Mukkuṟṟa Ūtal Nōy,"Oedema due to mukkutram and fatal It is characterised by anger against women, edema, fever, diarhhoea,abdominal pain,anal pain,dislike to food, pain in extremities, dyspnoea on exertion, giddiness, hypersalivation. It is explained by vali ( samanan,abanan,udanan and vyanan ), Aẕal and iy"
B,Tōl Nōykaḷ,
BA,Akki,
BAA,Vaḷi,
BAA1.1,Akki,"Herpes zooster It is characterized by fever, painful reddened rashes occurring in the course of the sensory nerves. This disease may occur in sudden seasonal changes and in immune compromised conditions. It is common in summer. It is explained by increased Aẕal followe"
BB,Akkuḷ Ericcal Kaṭṭi,
BBB,Aẕal,
BBB1.1,Akkuḷ Ericcal Kaṭṭi,"Abcess in the axilla with burning It is characterized by axillary lymphadenitis with fever and convalesence. It is explained by increased prasaga Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram, senner and Ūṉ gets increased."
BBB1.2,Akkuḷ Kaṭṭi,"Abcess in the axilla It is characterized by axillary or inguinal lymphadenitis with fever and convalesence. It may be explained by increased prasaga Aẕal. The seven udal thathukkal Saram, Senner, Ūṉ gets increased."
BC,Kāl Āṇi,
BCA,Vaḷi,
BCA1.1,Kāl Āṇi,"Rougness of skin over the feet It is characterized by cornification in the sole or palm due to constant pressure or friction with hard objects. It is explained by the increased vyanan (dryness, thickening, hardness and pain) followed by decreased prasagam (diminished complexion of the"
BD,Kāḷañcakappaṭai,
BDB,Aẕal,
BDB1.1,Kāḷañcakappaṭai,"Psoriasis It is characterized by erythematous elevated itchy patches with silvery scales in the scalp, palm and sole, heamorrhagic purpura, cracks in the sole and palm. In chronic stages it affects the nail (psoriatic nail) and joints (psoriatic arthropathy - kalan"
BE,Kāṇākkaṭi,
BEB,Aẕal,
BEB1.1,Kāṇākkaṭi,"Utricaria It is characterized by erythematous rashes , soft elevated patches in the skin, itching, pain or tenderness due to unidentified cause. It may be explained by the increased vyanan and prasagam (red patches and itching). Among the Uṭaṟtātukkaḷ Increased C"
BF,Karappāṉ,
BFA,Vaḷi,
BFA1.1,Kapāla Karuṅkarappaṉ,"Hyperpigmentation of skin in the scalp It is characterized by a hyperpigmeted itchy skin lesions in the scalp, macules and oozing papules. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ saram and senner gets affected."
BFA1.2,Kaṇṭak Karappāṉ,"Eczema occuring in head and ears It is characterised by burning sensation, thickening of the skin in the scalp and ears, rigor, chillness of the body with goose skin, tingling sensation, dazzling of the eyes and thorny sensation over the skin. It may be explained by the increased activit"
BFA1.3,Timirvātak Karappāṉ,"Eczema with joint pain It is characterised by pain while sitting and standing, deformity in the joints of the hand, leg and back, odema all over the body, weeping and ulcer formation, polyuria, increased body temperature, vague pain, rigor, malaise, emaciation of the body and"
BFA1.4,Vali Kapālak Karappāṉ,"Eczema occurred in scalp due to increased vali It is characterized by hyperpigmented papules in the scalp with watery or oily discharge, itching, swelling of the face, chillness of the body, pain in the occipital region. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ ssaram and Cen"
BFA1.5,Vaṟaṭcikkarappāṉ,"Eczema with dry skin It is characterised by odema all over the body, tingling sensation, itching, fatigue, drowsiness, dryness of the skin, weight loss, incoherent speech, purulent discharge in the oedematous areas and mal odour. It may be explained by derangement of viyanan."
BFA1.6,Vātak Karappāṉ,"Eczema caused by increased vali It is characterised by general malaise, odema, crusted lesions, deformity of the joints, engorged and tortuous veins, dryness of the skin. It is explained by derangement of viyanan. Among the seven Uṭaṟtātukkaḷ Cāram (malaise), senner, Eṉpu (deformity o"
BFB,Azhal,
BFB1.1,Akki Kātu Karappāṉ,"Ezema occuring in the ears with boils It is characterised by herpetic lesion in the ear with boils. It is explained by increase of Aẕal thathu, Among the seven Uṭaṟtātukkaḷ Cennīr thathu gets affected."
BFB1.2,Aẕal Kapālak Karappāṉ,"Ezema occurred in scalp due to increased azhal It is characterized by a papules in the scalp with burning sensation, swelling, oozing. It is explained by increased Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram and senner gets affected."
BFB1.3,Aẕukaṇṇi Kātu Karappāṉ,"Eczema occuring in ears with infection It is characterised by inflammatory lesions in the ear leading to cellulitis. It is explained by increase in Aẕal and iya humour. Among the Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ and Koẕuppu gets affected."
BFB1.4,Pittak Karappāṉ,"Eczema caused by increased azhal It is characterised by yellowish discoloration of skin, giddiness, tiredness, inflammation, anorexia, tingling sensation. It is explained by increased Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected."
BFB1.5,koḷḷIkkarappāṉn,"Eczema occuring in the ears with burning sensation It is characterised by eczematous lesion associated with blisters, burning sensation in the ears. It is explained by increased Aẕal humour. Among the seven Uṭaṟtātukkaḷ, Cennīr gets affected."
BFB1.6,Pokki Kātu Karappāṉ,"Eczema occuring in ears with bleeding exudates It is characterised by small boils around the ears, bleeding from lesions. It is explained deranged vali and Aẕal. Among the seven Uṭaṟtātukkaḷ Cennīr is increased."
BFB1.7,Coṟi Kātu Karappāṉ,Eczema occuring in ears with severe itching It is characterised by itchiy papules around the ear. It is explained by derangement of vali. Among the seven Uṭaṟtātukkaḷ Cāram and Cennīr gets affected.
BFB1.8,Veṭi Kātu Karappāṉ,"Eczema occuring in ears with fissures It is characterised by dryness, cracks and ulcers around the ear. It is explained deranged vali humour. Among the seven Uṭaṟtātukkaḷ Cāram and Cennīr are decreased."
BFC,Aiyam,
BFC1.1,Aiyak Kapāla Karappāṉ,"Eczema occurred in scalp due to increased aiyam It is characterized by a papules in the scalp with watery discharge, pricking pain in the eyebrows and forehead, cervical and submandibular lymphadenopathy. It is explained by increased aiyam. Among the seven Uṭaṟtātukkaḷ Cāram and senner gets affected"
BFC1.2,Coṟi Kātu Karappāṉ,Eczema occuring in ears with severe itching It is characterised by itchiy papules around the ear. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram and Cennīr gets affected.
BFC1.3,Cilēttumakkarappāṉ,"Eczema caused by increase aiyam It is characterized by difficulty in speech, headache, oral ulcers, salivation and pain along with clinical features of eczema. It is explained by increase in Aẕal due to consumption of food substances causing allergy which is the root cause of the disea"
BG,Kaṭṭi,
BGB,Aẕal,
BGB1.1,Kaṭṭi,"Abcess It is characterized by a swelling with pus collection, redness, pain, warmth, and swelling. It is explained by increased Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram and Cennīr gets affected initialy and then Ūṉ, Koẕuppu and sometimes Eṉpu gets affected."
BGB1.2,Mūttiranāḷakkaṭṭi,"abcess in the Urinary tract It is characterized by a abcess in the urinary tract with burning micturation,hematuria, pus discharge and fever. It is explained by increased Aẕal. Among the seven udal thathukkal Saram, Cennīr affected initialy and then Ūṉ, Koẕuppu gets affected."
BGB1.3,Kallīral Kaṭṭi,"abcess in the Liver It is characterized by a liver abcess with breathlessness, pain in the thoracic region. It is explained by increased Aẕal. Among the seven udal thathukkal Cāram, Cennīr affected initialy and then Ūṉ, Koẕuppu gets affected."
BGB1.4,Maṇṇīral Kaṭṭi,"abcess in the spleen It is characterized by a spleenic abcess with dyspnea, thurst, general bodyache. It is explained by increased Aẕal. Among the seven udal thathukkal Cāram, Cennīr affected initialy and then Ūṉ, Koẕuppu gets affected."
BGB1.5,Pakka Vilākkaṭṭi,"abcess in the thoracic cavity It is characterized by a abcess in the thoracic cavity with throat obstruction. It is explained by increased Aẕal. Among the seven udal thathukkal Cāram, Cennīr affected initialy and then Ūṉ, Koẕuppu gets affected."
BGB1.6,Mārpu Kaṭṭi,"abcess in the chest It is characterized by a abcess in the cardiac or chest region with tiredness, dyspnea and depression. It is explained by increased Aẕal. Among the seven udal thathukkal Cāram, Cennīr affected initialy and then Ūṉ, Koẕuppu gets affected."
BGB1.7,Iraippaikkaṭṭi,"abcess in the stomach It is characterized by a abcess in the stomach with loss of appitite, pain in the epigastric and chest region . It is explained by increased Aẕal. Among the seven udal thathukkal Cāram, Cennīr affected initialy and then Ūṉ, Koẕuppu gets affected."
BGB1.8,Toṭai Iṭukku Kaṭṭi,"abcess in the Inguinal Region It is characterized by a abcess in the inguinal region with pain, fever, difficult to walk and adduct the legs. It is explained by increased Aẕal. Among the seven udal thathukkal Cāram, Cennīr affected initialy and then Ūṉ, Koẕuppu gets affected."
BGB1.9,Aṇṭakkaṭṭi,"abcess in the scrotum It is characterized by a abcess in the scrotum with pain in the scrotum, lower back region. It is explained by increased Aẕal. Among the seven udal thathukkal Cāram, Cennīr affected initialy and then Ūṉ, Koẕuppu gets affected."
BGB1.10,Eruvāykkaṭṭi,"abcess in and around the anus It is characterized by a abcess in and around the anus with painful defication and pus discharge. It is explained by increased Aẕal. Among the seven udal thathukkal Cāram, Cennīr affected initialy and then Ūṉ, Koẕuppu gets affected."
BH,Koppuḷam,
BHB,Aẕal,
BHB1.1,Akkuḷ Koppuḷam,"Boils in the axilla It is characterized by small multiple boils present in and around the axillary region. It is explained by increased Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected."
BHB1.2,Ammai Koppuḷam,"Chicken pox blisters It is characterized by vesicles over erythematous lesions. It is expalained by the increased Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ and Koẕuppu gets affected."
BI,Kuṭṭam,
BIA,Vaḷi,
BIA1.1,Kapāla Karuṅkuṭṭam,"Hyperpigmentation of skin in the scalp It is characterized by hyperpigmented skin lesions in the scalp with dryness, scaliness and severe itching. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram and senner gets affected."
BIA1.2,Kapāla Viṭak Kuṭṭam,"Thickening of scalp skin due to toxins It is characterised by coin shaped hyperkeratinised lesions with hyperpigmented dots, itching of scalp, hair loss and emaciation due to toxins. It is explained by increased vali and Aẕal. Among the Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ and Koẕuppu gets affected"
BIA1.3,Kaṭic Cevi Kuṭṭam,Skin fissures in the ears It is characterised by allergic lesions around the ear caused by some unknown insect bite. It is explained by deranged Aẕal humour. Among the seven Uṭaṟtātukkaḷ Cennīr is increased.
BIA1.4,Kaṭuppuc Cevi Kuṭṭam,Skin irritation over the ears It is characterised by skin lesion around the ear causing pain. It is explained by deranged vali. Among the seven Uṭaṟtātukkaḷ Cāram is decreased and senneeer is increased.
BIA1.5,Karuñcevi Kuṭṭam,"Blackish discolouration of the skin in the ear It is characterised by hyperpigmented skin around the ears, ear ache due to skin infection in the middle ear. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram and Cennīr gets affected."
BIA1.6,Kaṭuppu Peru Nōy (Karṇakuṭṭam),"Cracks in the skin and bluish discolouration It is characterised by pain all over the body, cracks over the skin, pruritis, swollen and bulky appearance with bluish discolouration of the body. It is explained by increased vyanan and prasagam . Among the seven Uṭaṟtātukkaḷ Cāram and Cennīr gets affe"
BIA1.7,Puḷḷic Cevi Kuṭṭam,Annular lesion in the skin of the ear It is characterised by hypopigmented dots around the ear. It is explained by decreased vali and increased aiyam humour. Among the seven Uṭaṟtātukkaḷ Cennīr gets affected.
BIA1.8,Caruma Cevik Kuṭṭam,Thickening of the skin in ear with severe itching It is characterised by change in skin texture around the ear. It is explained by deranged vali. Among the Uṭaṟtātukkaḷ Cāram is increased.
BIA1.9,Cevi Ceṅkuṭṭam,Inflammatory skin lesion in the ear It is characterised by inflammatory skin disease around the ears. It is explained by increase of Aẕal humour. Among the seven udal thathukkal Cāram and Cennīr gets affected.
BIA1.10,Viṭa Cevik Kuṭṭam,Skin lesions in the ears due to toxins It is characterised by skin lesion around the ear due to some toxins. It may be explained by increase in Aẕal.
BJ,Maccam,
BJA,Vaḷi,
BJA1.1,Maccam,"Mole It is characterised by circumscribed hyperplasia, pale or brown coloured naevus. It doesnot cause any problem and useful for the personal identifications. Treatment is not indicated if they are not showing signs of malignant transformation. It is explain"
BK,Maruḷ,
BKA,Vaḷi,
BKA1.1,Maruḷ,"Wart It is characterised by small fleshy or grainy bumps with rough or smooth surface, common in face, neck, upper and lower limbs, rarely painful and grows when put on pressure. It is explained by the imbalance of vali and Aẕal humour affecting ranchagam and"
BL,Mayir Utiral,
BLA,Vaḷi,
BLA1.1,Mayir Utiral,"Hair loss It is characterised by loss of hair in scalp or body due to malnutrition, stress, certain medications. It is explained by aggravation of Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ, Koẕuppu, Eṉpu, Mūḷai and sukkilam gets affected."
BM,Mukapparu,
BMB,Azhal,
BMB1.1,Mukapparu,"Acne It is characterised by chronic inflammation of pilo sebaceous follicles, comedones, papules, pustules, cysts, nodules and often scars. It occurs primarily in the oily areas of skin. It is explained by aggravation of Aẕal and associated with aiyam. Among t"
BN,Narai,
BNC,Aiyam,
BNC1.1,Narai,"Grey hair It is characterized by premature greying of hair in young adults and even in children. It may be explained by the decreased ranjaga Aẕal and vali which in turn increases aiyam. Among the seven Uṭaṟtātukkaḷ Cāram, senner, Ūṉ, Koẕuppu, Eṉpu and Mūḷai gets"
BO,Pāl Uṉṉi,
BOA,Vaḷi,
BOA1.1,Pāl Uṉṉi,"Molluscum It is characterised by the eruption of small, umblicated, multiple pearled or flesh-coloured smooth, shiny, globular papules, located on the face, trunk and extremities. It is explained by derangement of vali. Among the seven Uṭaṟtātukkaḷ Cāram gets aff"
BQ,Paṭartāmarai,
BQC,Aiyam,
BQC1.1,Paṭartāmarai,"Ring worm infection It is characterised by skin lesion of small erythematous area, scaling or vesicular and crusted patch that spreads peripherally and partly clears in centre. Pruritus, burning sensation and hyperpigmentation of skin also present. It is explained by increas"
BR,Pēṉkaḷ,
BRA,Vaḷi,
BRA1.1,Pēṉkaḷ,"Pediculosis It is characterised by itching and irritation due to infestation of lice in any part of the body. It is explained by increased Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and gets affected."
BS,Perunōy,
BSA,Vaḷi,
BSA1.1,Attikkāy Peru Nōy (Avutumpara Kuṭṭam),"Neurofibroma It is characterised by fig like hardened skin eruptions, spreading all over the body, wrinkles, itching and numbness, giddiness. It is explained by increased Aẕal and vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected."
BSA1.2,Nāp Peru Nōy (Citmā Kuṭṭam),"Greenish yellow annular lesion with numbness It is characterised by hypopigmented skin lesions, subsequently changes to greenish yellow, numbness, could not able to move the body, develops memory loss. It may be explained by increased vatham and pitham. Of the seven udal thathukkal, Cāram, senner,"
BSA1.3,Coṟip Peru Nōy (Vicarccikā Kuṭṭam),"Dry skin with lesiosn greasy to touch burning sensation It is characterised by skin lesion greasy to touch, pallor skin, numbness, burning sensation, painful, elevated skin lesions with repeated itching results in erythema , thickening, dryness of skin, colic, loss of temper and roughness of skin. It is expla"
BSA1.4,Tōlveṭip Peru Nōy (Carmataḷa Kuṭṭam),"Thickened skin with linear fissures with throbbing pain It is characterised by linear fissures over the skin, thickened skin with pain and red colour, throbbing pain, lethargic, giddiness, abdominal pain. It is explained by increased vali and Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affec"
BSA1.5,Vaḷaiyap Peru Nōy (Maṇṭalak Kuṭṭam),"Greenish red colured skin lesions wth oozing It is characterised by greenish skin lesion with reddish margin, lesion appears all over the body including scalp, thickening and darkening of the skin, itching, oozing of reddish watery secretion all over body. It may be explained by increased vatham an"
BSA1.6,Valip Peru Nōy (Aparica Kuṭṭam),"Pain and fissures over the body It is characterised generalized pain, venous stasis, tenderness and tremor all over the body, exudation, oedema, followed by fissure. It is explained by increased vali and Aẕal Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected."
BSB,Azhal,
BSB1.1,Koppuḷap Peru Nōy (Vicpōṭakak Kuṭṭam),"Blisters with burning sensation and thickened skin It is characterised by fissures, cracks and ulceration beginning in the flexor, pruritus and burning sensation, inflammation in the arms, legs, eyes, ears and trunks, body skin glitters like snake skin, blackish discolouration spreads over the flexor are"
BSB1.2,paṉṟit Tōl Peru Nōy (Kiṭīpa Kuṭṭam),"Greenish discolouration with elephant skin thickening It is characterised by greenish discolouration of the body, scleroderma, numbness, severe itching, frequent urination, foul body odour. It is explained by increased vali and Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected."
BSB1.3,ciraṅkup Peru Nōy (Pāmā Kuṭṭam),"Scaling of the skin with itching and scrapping It is characterised by hypopigmented patches with itching,purulent discharge,absoption of phalanges, burning sensation, appearance of the lesions like calyx of the lotus, scratches, scaling, It is explained by increased vali and Aẕal.Among the seven U"
BSB1.4,Taṭippup Peru Nōy (Tatturukuṭṭam),"Annular reddish skin discoluration It is characterised by annular reddish skin lesion, exacerbates with increasing tenderness,curling of hair in the lesion area, numbness, paraesthesia, anasarca. It is explained by increased Aẕal and aiyam. Among the seven Uṭaṟtātukkaḷ Cāram,Cennīr and Ū"
BSB1.5,Tōṟ Peru Nōy (Carma Kuṭṭam),"Greenish and pale skin eruptions with pus It is characterised by fissured skin, pain all over the body, anasarca, pruritis, bluish discolouration of the body like Elitoria ternatea flower colour. It may be explained by increased Aẕal and aiyam. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ū"
BSC,Aiyam,
BSC1.1,Karu Peru Nōy (Kiruṣṇa Kuṭṭam),"Blackish discolouration of the skin It is characterised by blackish discoluration all over the body which turns red with itching and foul odour, warmth ,tenderness ,which appears first in the lower limbs then in inguinal area and scalp. It is explained by increased vatham and pitham. Among"
BSC1.2,Paṭartāmarai Peru Nōy (Puṇṭarīkak Kuṭṭam),"Ring worm infection It is characterised by skin lesion which appears either as lotus petals, pale or black or red or milky white in colour, pruritus,scratching of the skin, oozing, pain and tenderness. It is explained by increased vali which inturn followed by Aẕal. Among"
BT,Veṇpaṭai,
BTA,Vaḷi,
BTA1.1,Vāta Veṇ Paṭai,"Leucoderma caused by increased vali It is characterised by roughened, unevenly depigmented skin with reddish black in colour. It is explained by increased Aẕal. Among the seven Uṭaṟtātukkaḷ, Cāram and Cennīr gets affected."
BTB,Azhal,
BTB1.1,Pitta Veṇ Paṭai,"Leucoderma caused by increased azhal It is characterised by lotus colour reddish white skin lesion, burning sensation, loss of hair. It is explained by increased Aẕal. Among the seven Uṭaṟtātukkaḷ, Cāram and Cennīr gets affected."
BTB1.2,Mēka Veṇ Paṭai,"Leucoderma caused by increased heat It is characterised by skin patches in the venereal diseased person after 4 or 6 months, border of the lesion may be light yellow or thick yellow colour. It is explained by increased vali, Aẕal and aiyam. Among the seven Uṭaṟtātukkaḷ, Cāram, senener and"
BTC,Aiyam,
