Code,Term,RegionalTerm,Short_definition,Long_definition,Name English
A-19.6,Mālankhūliya Marāqī/ Nafkh Marāqī/ Marāqiyya/ ‘Illat Nāfikha/Sharsūfiya,مالنخوليا مراقي /نفخ مراقی /مراقیہ /علّت نافخہ/شرسوفیہ,Psychoneurosis,This type of disorder occurs when burnt humour get accumulated in the peritoneum because of internal heat and leads to the formation of Bukhārāt (gases) of bad quality. These vapours cause the disturbance in the brain.,
A-2,Shaqīqa,شقيقہ,Migraine,A type of severe headache which involves one half of head whether it is right or left. It is an episodic type of pain accompanied with nausea and vomiting.,
A-2.1,Shaqīqa Ḥārra,شقيقہ حارہ,Acute migraine,A type of migraine which is caused by predominance of Ṣafrā’ (yellow bile) and Dam (blood/sanguine) in the body.,
A-2.2,Shaqīqa Bārida,شقيقہ باردہ,Chronic migraine,A type of migraine which is caused by predominance of Balgham (phlegm) and Sawdā’ (black bile) in the body.,
A-2.3,Shaqīqa Riyāḥī,شقیقہ ریاحی,Gaseous migraine,"A condition of episodic, severe headache involving one half of the head caused by accumulation of gases in the head. This condition is characterised by absence of heaviness in the head without an increase in its temperature, feeling of tightness in the head and hissing in the ears",
A-2.4,Shaqīqa Bukhārī,شقیقہ بخاری,vaporous migraine,"A condition of episodic, severe headache involving one half of the head caused by  predominance of vapours reaching the head . This condition is  characterised by absence of heaviness in the head with an increase in the temperature of affected part, rapid pulse, tinnitus, increase in the intensity of pain during constipation, throbbing and relief with cold air and water",
A-20,Junūn/ Waswās,جنون/ وسواس,Insanity,A disturbed state of mind in which patient becomes insane. In this condition patient develops false perceptions and hallucinations accompanied with behavioural changes. Patient usually indulges in misbehaviour and does not follow discipline.,
A-21,Māniyā/ Junūn Saba‘ī,مانيا/ جنون سبعی,Psychosis/Mania,A severe form of agitated behaviour.,
A-22,Dā’ al-Kalb,داء الكلب,Cynanthropy,A combined state of agitation and relaxation caused by the accumulation of Muḥtariq Sawdā’ (burnt black bile) in the brain.,
A-23,Ṣubārā,صبارا,Maniac phrenitis,An intensely disturbed state of mind accompanied with fever. It is caused by Muḥtariq Ṣafrā’ (burnt yellow bile) and resembles very much with Sarsām Ṣafrāwī in terms of fever and the condition of urine.,
A-24,‘Ishq,عشق,Erotomania,"A type of hallucination which resembles Mālankhūliyā. In this condition, patient usually visualises the picture or thought of his beloved person in order to feel him/her.",
A-25,Sadr-o-Duwār,سدر و دوار,Vertigo and giddiness,"Sadr is a disease of brain in which the person experiences darkness on standing. This condition usually accompanies with heaviness of head, tinnitus and confusion. Duwār is similar to Sadr but in this condition the patients feel giddiness also.",
A-25.1,Sadr-o-Duwār Dimāghī Damawī,سدر و دوار دماغي دموي,Sanguineous vertigo and giddiness,"A type of vertigo and giddiness caused by the accumulation of Dam (blood /sanguine) in the brain itself. It is characterized by frequent episodes of giddiness, flushing of face, redness of eyes and elevated temperature of head. Initially, it is accompanied with lacrimation.",
A-25.2,Sadr-o-Duwār Dimāghī Balghamī,سدر و دوار دماغي بلغمي,Phlegmatic vertigo and giddiness,"Mostly it occurs due to the accumulation of Balgham (phlegm) in the brain. It is characterized by vertigo and giddiness along with heaviness of head, increased salivation, decreased thirst, altered sensorium, increased sleep and pulsus mollis.",
A-25.3,Sadr-o-Duwār Dimāghī Ṣafrāwī,سدر و دوار دماغي صفراوي,Bilious vertigo and giddiness,"A type of vertigo and giddiness caused by the accumulation of Ṣafrā’ (yellow bile) in the brain. It is characterized by vertigo and giddiness along with pale face, bitter taste, pulsus velox and thirst.",
A-25.4,Sadr-o-Duwār Dimāghī Sawdāwī,سدر و دوار دماغي سوداوي,Melancholic vertigo and giddiness,"A type of vertigo and giddiness caused by the accumulation of Sawdā’ (black bile) in the brain. It is characterized by excessive thoughts and sleeplessness, pulsus debilis and pulses durus.",
A-25.5,Sadr-o-Duwār Shirkī,سدر و دوار شركي,Secondary vertigo and giddiness,The state of Sadr and Duwār which comes as a complication of some other systemic diseases.,
A-25.6,Sadr-o-Duwār Rīḥī-o-Bukhārī,سدر و دوار ریحی و بخاری,giddiness and vertigo due to gases and vapours,A type of giddiness and vertigo due to gases and vapours reaching to the brain. This condition is characterised by short repeated episodes of giddiness and vertigo along with ringing in the ears,
A-26,Lawā-o-Fayḥadhaj/ Bījīdhaq/ Al-Lawā,لویٰ و فيحذج/ بيجيذق/ اللویٰ,excessive lethargy and fatigue,"Lawā is a condition which occurs in persons who lead a sedentary life and take alcohol along with rich diet. In these persons, there is an excessive accumulation of gases in the body which in turn leads to heaviness of heart, increased fatigue and lethargy.",
A-27,Kābūs/ Al-Khāniq/ Al-Jāthūm wa’l Nīdlān/ Khānūq/ Ḍāghūṭ,كابوس/ الخانق/ا لجاثوم والنيدلان/ خانوق/ ضاغوط,Nightmare/Incubus,Its literal meaning is to create pressure. In this condition patient feels pressure on his chest in lying posture while asleep. He feels choked and asphyxiated.,
A-27.1,Kābūs Damawī,كابوس دموي,Sanguineous nightmare,"It is caused by the vapours arising out of thick Dam (sanguine). It is characterized by redness of body, eyes and imagery of red colored objects along with other symptoms of Kābūs.",
A-27.2,Kābūs Balghamī,كابوس بلغمي,Phlegmatic nightmare,"It is caused by the vapours arising out of thick phlegm towards already weakened brain. Apart from all the symptoms of Kābūs it is characterized by lethargy, imagery of white/green colored objects.",
A-27.3,Kābūs Bārid,كابوس بارد,Nightmare due to cold,"This type of Kābūs occurs due to exposure of head to cold during sleep, inspite of the absence of predominance of any humour. It will not be characterized by the general symptoms of Kābūs and predominance of any humour.",
A-27.4,Kābūs Sawdāwī,كابوس سوداوي,Melancholic nightmare,"A type of feeling of pressure on the chest in sleep  caused by vapours arising from black bile and reaching to the brain,. This condition is characterised by  excessive thinking, decreased sleep, sunken eyes, etc., along with features of nightmare",
A-28,Ṣar‘,صرع,Epilepsy,Its literal meaning is to fall down. It is an episodic disease in which sensory and motor functions of the organs are stopped. The patient falls down and experiences convulsions and frothing from the mouth.,
A-28.1,Ṣar‘ Dimāghī Sawdāwī,صرع دماغي سوداوي,Melancholic epilepsy,A type of Ṣar‘ caused by the obstruction of ventricles of brain by the thick black bile which causes hindrance in the flow of motor faculties and psychic pneuma with in the related nerves.,
A-28.10,Ṣar‘ Khafīf,صرع خفيف,Petit mal,"In this type of Ṣar‘ (epilepsy) intensity of convulsions is mild. This is usually accompanied with tinnitus, congestion and tension but there is no heaviness of head.",
A-28.11,Ṣar‘ Shadīd,صرع شديد,Grand mal,In this type of Ṣar‘ (epilepsy) intensity of convulsions is severe.,
A-28.12,Ṣar‘ Ḍarbī,صرع ضربي,Traumatic epilepsy,A type of Ṣar‘ (epilepsy) that occurs after injury of the head.,
A-28.13,Ṣar‘ Qalbī,صرع قلبي,epilepsy due to the involvement of heart,A type of Ṣar‘ (epilepsy) associated with some cardiac diseases.,
A-28.14,Ṣar‘ Laylī,صرع لیلی,Nocturnal epilepsy,A type of Ṣar‘ (epilepsy) in which episodic convulsions occur at night.,
A-28.15,Ṣar‘ Marāqī,صرع مراقي,Hypochondriacal neurosis,A type of Ṣar‘ (epilepsy) associated with Mālankhūliyā.,
A-28.16,Ṣar‘ Nahārī,صرع نهاري,Diurnal epilepsy,In this type of Ṣar‘ (epilepsy) episodic convulsions occur at daytime.,
A-28.17,Ṣar‘ Shirkī Mi‘dī,صرع شركي معدي,Secondary epilepsy,Ṣar‘ (epilepsy) associated with the abdominal diseases.,
A-28.18,Ṣar‘ Ḥissī,صرع حسي,epilepsy  due to hypersensitivity of brain,Ṣar‘ (epilepsy) due to the increased sensitivity of the brain.,
A-28.19,Ṣar‘ Dimāghī Damawī,صرع دماغي دموي,epilepsy due to predominance of sanguine,"A type of epilepsy due to predominance of sanguine . This condition is characterised by redness of face and eyes, engorged vessels, large and swift pulse, lethargy, lack of mental clarity, excessive salivation, etc.",
A-28.2,Ṣar‘ Dimāghī Aṣlī,صرع دماغي اصلي,Primary epilepsy,A condition where the cause of Ṣar‘ (epilepsy) is in the brain itself.,
A-28.20,Ṣar‘ Dimāghī  Ṣafrāwī,صرع دماغي صفراوي,epilepsy due to predominance of yellow bile,"A type of epilepsy due to predominance of yellow bile. This condition is characterised by brief episodes of mild seizures and accompanied with restlessness, mental confusion, yellowish discoloration of eyes and pale face",
A-28.21,Ṣar‘ Dimāghī Balghamī,صرع دماغي بلغمي,epilepsy due to predominance of phlegm,"A type of epilepsy due to predominance of phlegm. This condition is characterised by  excessive frothing from mouth, fluttering of eyebrows  accompanied with thick salivation, flaccid face, whitish skin, bulky body, unequal and slow pulse and whitish urine of thick consistency",
A-28.22,Ṣar‘ Dimāghī Rīḥī,صرع دماغی ریحی,epilepsy due to accumulation of gases in brain,A type of epilepsy due to accumulation of gases in brain. This condition is characterised by frequent episodes of mild seizures  along with tinnitus without heaviness of head,
A-28.23,Ṣar‘ Mi‘dī Balghamī,صرع معدی بلغمی,epilepsy due to gastric disorders of phlegmatic origin,A type of epilepsy due to gastric disorders of phlegmatic origin . This condition is characterised by  indigestion and general features of predominance of phlegm,
A-28.24,Ṣar‘ Mi‘dī Sawdāwī,صرع معدی سوداوی,epilepsy due to gastric disorders of melancholic origin,"A type of epilepsy due to gastric disorders of melancholic origin. This condition is characterised by constant hunger, sour taste in mouth, delusion and thoughtfulness",
A-28.25,Ṣar‘ Mi‘dī Ṣafrāwī,صرع معدی صفراوی,epilepsy due to gastric disorders of bilious origin,A type of epilepsy due to gastric disorders of bilious origin . This condition is characterised by  thirst and burning sensation in the epigastric region,
A-28.26,Ṣar‘ Mi'ā'ī,صرع معائی,epilepsy due to the involvement of intestine,"A type of epilepsy due to the involvement of intestine . This condition is characterised by sudden excretion of intestinal worms, excessive salivation especially before sleep, increased appetite and sensation of movements of worms during hunger along with abdominal pain",
A-28.3,Ṣar‘ Shirkī,صرع شركي,Secondary epilepsy,A condition when Ṣar‘ (epilepsy) occurs as a complication of other diseases of the body.,
A-28.4,Ṣar‘ Las‘ī,صرع لسعي,Sting epilepsy,A type of Ṣar‘ (epilepsy) that occurs due to scorpion or insect bite.,
A-28.5,Ṣar‘ al-Aṭfāl,صرع الاطفال,Infantile epilepsy,"Epilepsy that occurs in children. Affected children experience convulsions with frothing from mouth. Most physicians are of the view that Umm al-Ṣibyān and Rīḥ al-Ṣibyān are one and the same as is Ṣar‘ al-Aṭfāl, but some physicians do not support this statement. They think that Umm al-Ṣibyān is a type of Ṣar‘ (epilepsy) which is accompanied with high fever.",
A-28.6,Ṣar‘ Badanī,صرع بدني,epilepsy due to vapours,Epilepsy of this type occurs when Radī Bukhārāt (putrefied gases) from the body get accumulated in the brain.,
A-28.7,Ṣar‘ Aṭrāfī,صرع اطرافي,epilepsy due to the involvement of extremities,Epilepsy of this type occurs when Radī Bukhārāt (putrefied gases) from hand and legs get collected in the brain.,
A-28.8,Ṣar‘ Raḥimī,صرع رحمي,epilepsy due to the involvement of uterus,Ṣar‘ (epilepsy) due to the involvement of uterus.,
A-28.9,Ṣar‘ Khababī,صرع خببي,Procursive epilepsy,In this type of Ṣar‘ (epilepsy) patient runs fast before the episode of convulsion.,
A-29,Sakta,سكتہ,Apoplexy,A condition that occurs when there is a complete obstruction of the ventricles of the brain and channels of oxygen. In this condition the motor and sensory functions of the body stop but the respiratory and circulatory functions remain active. Patient remains stationary.,
A-29.1,Sakta Damwiyya,سكتہ دمويہ,Sanguineous apoplexy,"Congestion of blood in the brain leads to this type of Sakta (apoplexy). In this type, patient’s eyes and face become red and vessels are congested.",
A-29.10,Sakta Bukhāriyya,سکتہ بخاریہ,apoplexy/ unconciousness due to vapours,A type of apoplexy/ unconciousness caused due to reaching of bad quality vapours of internal or external origin to the brain. This condition is characterised by sudden loss of consciousness,
A-29.2,Sakta Balghamiyya,سكتہ بلغميہ,Phlegmatic apoplexy,"A type of apoplexy that occurs due to Sudda Balghamī (phlegmatic obstruction) in the brain. In this condition patient develops palor, flaccid muscles and there is discharge from nose and mouth.",
A-29.3,Sakta Sawdāwiyya,سكتہ سوداويہ,Melancholic apoplexy,A type of apoplexy that occurs due to accumulation of Sawdā’ (black bile) in the brain.,
A-29.4,Sakta Iḥtiqāniyya,سكتہ احتقانيہ,Congestive apoplexy,A type of apoplexy in which there is engorgement of blood vessels of brain but exudation does not occur.,
A-29.5,Sakta Jildiyya,سكتہ جلديہ,Cutaneous apoplexy,An apparent form of Sakta (apoplexy) in which there is accumulation of exudates beneath the skin.,
A-29.6,Sakta Ri’wiyya,سكتہ رئويہ,Pulmonary apoplexy,When Sakta (apoplexy) occurs due to the haemorrhage of the vessels of lungs. This causes congestion of the lungs.,
A-29.7,Sakta Suddiyya,سكتہ سديہ,Thrombotic apoplexy,When Sakta (apoplexy) occurs due to the obstruction in the arteries of brain.,
A-29.8,Sakta Ḍarbiyya,سكتہ ضربيہ,Traumatic apoplexy,When Sakta (apoplexy) occurs due to injury of head.,
A-29.9,Sakta Mawlūdiyya,سكتہ مولوديہ,Neonatal apoplexy,When Sakta (apoplexy) occurs in newborns.,
A-3,‘Iṣāba,عصابہ,Frontal headache,It is a type of severe headache which occurs on the forehead above the eyebrow. It can involve either sides or both sides. The intensity of pain gradually reduces with the sunset.,
A-30,Jumūd/ Shukhūṣ/ Ākhidha/Mudrika/ Qāṭūkhaṣ,جمود/ شخوص/ آخذة/ مدركة/ قاطوخص,Catalepsy,A condition that occurs due to the accumulation of Sawdā’ (black bile) in hind brain. Due to this all the sensory functions of the brain stop and patient remains stationary in his position.,
A-31,Istirkhā’,استرخاء,Atony/Flaccidity,A condition where muscles of an organ or the whole body become flaccid and are not able to perform function.,
A-32,Fālij,فالج,Hemiplegia,Paralytic conditions where muscles of half body (longitudinally) on either side stop functioning except the head.,
A-32.1,Fālij Wabā’ī,فالج و بائي,paralysis due to putrefied air,"Fālij (paralysis), that spreads in the form of epidemic in a certain area because of polluted air. This occurs mostly due to the involvement of heart. Patient suffering from this disease has bad breath, red eyes and confused state. This is usually accompanied with vomiting having blackish green vomitus and sometimes it leads to sudden death within hours to three days.",
A-32.2,Fālij Ruṭūbī Balghamī,فالج رطوبی بلغمی,Phlegmatic hemiplegia,"A condition of hemiplegia due to obstruction of phlegmatic origin in brain. This condition is characterised by paralysis of one side of body along with whitish discoloration of skin, flaccidity of body, excessive salivation and sleep and decreased thirst.",
A-32.3,Fālij Damawī,فالج دموی,Sanguineous hemiplegia,"A condition of hemiplegia due to obstruction of sanguineous origin in brain. This condition is characterised by paralysis of one side of body along with increased body temperature, engorged vessels of neck and reddish face and eyes",
A-32.4,Fālij Intiqālī Buḥrānī,فالج انتقالی بحرانی,hemiplegia due to crisis,"A condition of hemiplegia due to crisis of any other disease . This condition is characterised by paralysis of one side of body associated with meningitis, epilepsy, unconsciousness, acute and chronic fevers, hysteria, etc.",
A-32.5,Fālij Waramī,فالج ورمی,hemiplegia due to inflammation,A condition of hemiplegia due to inflammation in brain. This condition is characterised by gradual paralysis of one side of body along with fever and nerve pain,
A-32.6,Abūbalqisyā,ابوبلقسیا,general paralysis,A condition of generalised paralysis and characterised by paralysis of whole body except head and face,
A-32.7,Fālij Asfal/Fālij Aṭrāfī,فالج اسفل/فالج اطرافی,paralysis of extrimities/lower body,"A condition of paralysis of lower part of body due to constitution derangement in spinal cord resulting from any injury or its inflammation. It can also be due to congestion of Dam. It is characterised by gradual weakness of muscles of lower limbs, backache, staggering gait, occasional fall followed by the stoppage of motor functions of lower limb.",
A-33,Tashannuj,تشنج,Cramp/Convulsion/Spasm,A condition in which muscles contract towards their origin. It is a state of muscular spasm.,
A-33.1,Tashannuj Māddī/ Tashannuj Raṭb/ Tashannuj Imtilā’ī,تشنج مادي/ تشنج رطب/ تشنج امتلائي,Repletive spasm,A type of spasm that occurs due to the involvement of Mādda (organic matter). It occurs mostly in children.,
A-33.2,Tashannuj Yubsī/ Tashannuj Istifrāghī,تشنج يبسي/ تشنج استفراغي,Dry spasm,A type of spasm that occurs due to the predominance of Yubūsat (dryness) in muscles. Sometimes an intense dryness occurs by generalized evacuation of fluid from the body or by the use of some drugs which produce dryness in the body.,
A-33.3,Tashannuj Īdhā’ī,تشنج ايذائي,muscular spasm due to any irritant,A type of spasm that occurs in order to remove an injurious substance from the muscles whether it is an irritant humour or coldness.,
A-33.4,Tashannuj al-Aṭfāl,تشنج الاطفال,Infantile spasm,"A type of spasm mostly affecting children. It usually occurs because of high fever, constipation, insomnia and crying.",
A-33.5,Tashannuj al-Nufsā’,تشنج النفساء,Post partum spasm,The spasm of muscles occurring in the body of women in the post partum period.,
A-33.6,Tashannuj Wajhī,تشنج وجهي,Facial spasm,The spasm of facial muscles.,
A-33.7,Tashannuj Balghamī,تشنج بلغمی,Phlegmatic spasm,"A condition of muscular spasm due to infiltration of phlegm. This condition is characterised by heaviness, flaccidity and coldness of affected part, excessive sleep and decreased thirst.",
A-33.8,Tashannuj Sawdāwī,تشنج سوداوی,Melancholic  spasm,"A condition of muscular spasm due to infiltration of black bile. This condition is characterised by decrease in size of affected part, increased appetite and other features of predominance of black bile",
A-33.9,Tashannuj Rīḥī,تشنج ریحی,spasm due to gases,A condition of muscular spasm due to accumulation of gases. This condition subsides quickly,
A-34,Ḍu‘f al-Dimāgh,ضعف الدماغ,Cerebrasthenia,"It is the weakness of brain. In this condition the blood supply to whole brain or a part of brain is interrupted and that part or the whole brain does not get sufficient supply of blood leading to the disturbance in different faculties of brain. This condition can also be due to impaired temperament of brain, congenital abnormality of brain, increased Istifrāgh (evacuation) of the body by any method.",
A-35,Dhakāwa al-Ḥiss,ذكاو ۃ الحس,Hyperaesthesia of brain,A condition of increased sensitivity of brain which leads to headache and epilepsy.,
A-36,Ṣudā‘,صداع,Cephalagia/Headache,Pain felt in the head which is divided into many types according to cause.,
A-36.1,Ṣudā‘ Ḥārr,صداع حار,Headache due to excessive heat,Headache on exposure to hot environment. This headache does not involve Mādda (organic matter) or any pathological change inside the body.,
A-36.10,Ṣudā‘ Bukhārī Khārijī,صداع بخاري خارجي,headache due to external vapours,Headache due to excessive production of gases outside the brain.,
A-36.11,Ṣudā‘ Suddī,صداع سدي,Embolic headache,Headache due to Sudda (obstruction). The obstruction can occur either in the blood vessels or meningeal vessels or brain tissues.,
A-36.12,Ṣudā‘ Waramī,صداع ورمي,Inflammatory headache,Headache due to Waram (inflammation) of brain.,
A-36.13,Ṣudā‘ Ḍarabānī,صداع ضرباني,Throbbing headache,Headache due to increased pulsation of arteries in the brain.,
A-36.14,Ṣudā‘ Ḍu‘f Dimāghī,صداع ضعف دماغي,Headache due to weakness of brain,Headache due to weakness of brain.,
A-36.15,Ṣudā‘Ḥissī,صداع حسي,Headache due to hyperaesthesia,Headache due to the increased sensation of brain.,
A-36.16,Ṣudā‘ Yubsī,صداع يبسي,Dry headache,Headache due to the predominance of Yubūsat (dryness) in the brain.,
A-36.17,Ṣudā‘ Jimā‘ī,صداع جماعي,Copulative headache,Headache due to excessive intercourse.,
A-36.18,Ṣudā‘ Khumārī,صداع خماري,Alcoholic headache,Headache due to intake of alcohol.,
A-36.19,Ṣudā‘ Shammī,صداع شمي,headache due to smell,Headache due to inhalation of pungent odour or strong smells.,
A-36.2,Ṣudā‘ Bārid,صداع بارد,Headache due to excessive cold,Headache on exposure to cold environment without involvement of Mādda (organic matter).,
A-36.20,Ṣudā‘ Ḍarbī/ Ṣudā‘ Tafarruq-i-Ittiṣālī,صداع ضربي/ صداع تفرق اتصالي,Traumatic headache,Headache due to traumatic injury of head.,
A-36.21,Ṣudā‘ Taza‘zu‘ī,صداع تزعزعي,Concussional headache,Headache due to concussion of brain.,
